1991-03-25	122.12	122.62	122.1	122.12	-0.40943334425155586	443.0	324000.0	
1991-03-26	121.62	122.14	121.62	121.62	-0.41111659266568	1164.0	709000.0	
1991-03-27	121.12	121.64	121.12	121.12	-0.41281373844121527	668.0	366000.0	
1991-03-28	120.65	121.15	120.61	120.61	-0.42285050990797207	961.0	505000.0	
1991-03-29	120.16	120.61	120.11	120.19	-0.3494467093768215	2185.0	2186000.0	
1991-04-01	120.69	120.73	119.68	120.73	0.4472790524310497	11999.0	5666000.0	
1991-04-02	121.21	121.29	120.73	121.21	0.3960069301212687	816.0	387000.0	
1991-04-03	121.71	121.71	121.21	121.71	0.4108125872976748	2063.0	977000.0	
1991-04-04	122.2	122.2	121.24	121.72	0.008215576733490893	10517.0	5045000.0	
1991-04-05	121.07	121.73	121.03	121.54	-0.14809939114694143	11589.0	6035000.0	
1991-04-08	121.11	121.11	121.05	121.09	-0.371624411594684	1862.0	1675000.0	
1991-04-09	120.6	121.1	120.6	120.62	-0.3896534571381188	320.0	297000.0	
1991-04-10	120.15	120.62	120.09	120.16	-0.38282290279627823	466.0	281000.0	
1991-04-11	119.64	120.16	119.62	119.64	-0.4346372450685356	239.0	576000.0	
1991-04-12	119.2	119.65	119.15	119.21	-0.36070799429578626	399.0	301000.0	
1991-04-15	118.73	119.22	118.72	118.77	-0.37046392186578914	301.0	386000.0	
1991-04-16	118.36	118.77	118.34	118.34	-0.36335981071488305	105.0	177000.0	
1991-04-17	117.92	118.34	117.89	117.9	-0.3731976251060201	201.0	259000.0	
1991-04-18	117.45	117.93	117.45	117.45	-0.3831417624521097	178.0	133000.0	
1991-04-19	117.08	117.5	117.05	117.08	-0.3160232319781385	646.0	424000.0	
1991-04-22	116.63	117.08	116.58	116.63	-0.38583554831518724	430.0	321000.0	
1991-04-23	116.21	116.63	116.15	116.19	-0.37869007659867265	282.0	264000.0	
1991-04-24	115.7	116.19	115.7	115.79	-0.3454529752137417	148.0	121000.0	
1991-04-25	115.38	115.79	115.33	115.36	-0.37274618585298785	1495.0	998000.0	
1991-04-26	116.31	116.31	114.52	115.56	0.17307026652821292	13354.0	5806000.0	
1991-04-29	114.86	116.29	114.75	114.75	-0.7058823529411785	8411.0	3610000.0	
1991-04-30	113.89	114.87	113.89	113.94	-0.7109004739336513	4850.0	2734000.0	
1991-05-02	113.04	113.2	113.03	113.16	-0.6892895015906692	1465.0	1124000.0	
